,ft_name,profile_corr,dataset,sub,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0,5,,
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0,5,,
3,clipvision_final,0.0351361846865644,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0,5,,
4,clipvision_patches,0.0363776979067451,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0,5,,
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,90-10,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,90-10,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,90-10,500
3,clipvision_final,0.2096750522272055,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,90-10,500
4,clipvision_patches,0.0749424089746023,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,90-10,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,90-10,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,90-10,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,90-10,500
3,clipvision_final,0.0266486971673039,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,90-10,500
4,clipvision_patches,0.0351398051495896,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,90-10,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,90-10,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,90-10,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,90-10,500
3,clipvision_final,0.212429267542533,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,90-10,500
4,clipvision_patches,0.0741131324966057,deeprecon,KS,test,brain_diffuser,ic,friendly,,5,90-10,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,90-10,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,90-10,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,90-10,500
3,clipvision_final,0.025052800958952,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,90-10,500
4,clipvision_patches,0.0337148155981389,deeprecon,KS,art,brain_diffuser,ic,friendly,,5,90-10,500
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,80-20,500
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,80-20,500
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,80-20,500
3,clipvision_final,0.2060042679564855,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,80-20,500
4,clipvision_patches,0.0787404970331829,deeprecon,KS,test,brain_diffuser,ic,adversarial,,5,80-20,500
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,80-20,500
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,80-20,500
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,80-20,500
3,clipvision_final,0.0257896038724485,deeprecon,KS,art,brain_diffuser,ic,adversarial,,5,80-20,500
